bin,real,imag,magnitude,magnitude_db
0,-3.1159665767e-15,0,3.1159665767e-15,-240
1,-1.44879782761e-14,1.56162895719e-14,2.13018781923e-14,-240
2,-4.80194959763e-14,-1.79967353991e-14,5.12811318015e-14,-240
3,8.63545816332e-15,-1.19391170378e-15,8.7176007506e-15,-240
4,-1.11480938986e-13,-4.40770284013e-14,1.1987820565e-13,-240
5,7.85600383587e-15,-1.39905130323e-13,1.40125523325e-13,-240
6,1.77019980269e-13,-3.24095492043e-14,1.79962363549e-13,-240
7,6.1669490715e-15,2.9371437436e-14,3.00118742818e-14,-240
8,4.04590885221e-15,6.9977352613e-15,8.08317247296e-15,-240
9,2.63070685599e-14,-4.71243538442e-15,2.67258096878e-14,-240
10,2.57331244115e-14,1.81732778368e-14,3.15033604448e-14,-240
11,1.86459742165e-14,-9.69899964628e-15,2.10176818089e-14,-240
12,-1.63094973717e-14,1.60106243292e-14,2.28547543397e-14,-240
13,2.29438052097e-15,-4.49128130772e-14,4.49713793483e-14,-240
14,6.11357534204e-14,1.52277856161e-14,6.30036967253e-14,-240
15,-2.12944686813e-14,-4.61966764805e-14,5.08683331186e-14,-240
16,3.3736089387e-14,-3.29665442655e-14,4.71690233939e-14,-240
17,2.2694183387e-13,-128,128,42.144199393
18,-5.69508274635e-15,5.95522914078e-14,5.98239866559e-14,-240
19,5.62197004388e-15,2.73668221085e-14,2.79383159745e-14,-240
20,5.79206940104e-15,2.63090288341e-14,2.69390620872e-14,-240
21,1.67474003147e-14,3.70581499235e-14,4.06667172643e-14,-240
22,2.32131107629e-15,2.57037485879e-14,2.58083547826e-14,-240
23,3.03001287749e-14,3.41558911391e-14,4.56587637073e-14,-240
24,-2.58201700685e-15,2.08217538386e-14,2.09812355389e-14,-240
25,1.05409305875e-14,-7.46354911574e-15,1.2915718449e-14,-240
26,4.14677316325e-14,5.43517153878e-14,6.83643308483e-14,-240
27,1.68278996117e-14,3.86466239515e-14,4.21513908215e-14,-240
28,-3.21957740591e-14,7.48127421535e-14,8.14463888444e-14,-240
29,2.82590228381e-14,-1.82982170043e-14,3.3665963781e-14,-240
30,2.69790062568e-15,4.82850370564e-14,4.83603501986e-14,-240
31,1.41368041779e-14,3.04223826424e-14,3.35465437565e-14,-240
32,3.23846221687e-14,3.93083192726e-14,5.09304203502e-14,-240
33,-2.28691206544e-14,6.61917196772e-14,7.00309962326e-14,-240
34,1.91682306783e-15,3.76710808592e-14,3.77198163274e-14,-240
35,-1.9701334672e-14,1.05322157256e-13,1.07148958917e-13,-240
36,-4.31818844484e-14,2.19532705709e-14,4.8441936721e-14,-240
37,-3.57679730468e-14,6.20319121372e-14,7.16052094423e-14,-240
38,-1.01190929809e-13,3.13867229878e-14,1.0594682938e-13,-240
39,-2.06280887255e-14,-5.50342430579e-14,5.87731737566e-14,-240
40,6.0682825452e-14,3.94984521092e-14,7.24053383658e-14,-240
41,-1.46180470014e-14,1.07662067616e-13,1.08649933739e-13,-240
42,-3.83690561606e-15,1.47094775452e-13,1.47144808981e-13,-240
43,-4.9417170947e-13,-57.6,57.6,35.2084496685
44,-1.3610275393e-14,-1.77229654029e-13,1.77751483436e-13,-240
45,-4.79639751119e-15,-8.53774658403e-14,8.55120874637e-14,-240
46,-1.73580786433e-14,-7.22952888103e-14,7.43499272249e-14,-240
47,-2.16399246632e-14,-9.59684365239e-14,9.83779810134e-14,-240
48,1.71727133548e-14,-3.92021149473e-14,4.27984567515e-14,-240
49,3.86873807858e-14,-5.46238931248e-14,6.69364111092e-14,-240
50,4.15360649868e-14,-4.00238231634e-14,5.76814624919e-14,-240
51,9.02058012582e-15,-3.60196284399e-14,3.71319875411e-14,-240
52,2.14065825268e-14,-7.1947419009e-15,2.25833143382e-14,-240
53,3.22460007606e-14,-5.01813584779e-14,5.96487493896e-14,-240
54,4.15148730387e-14,1.74856698429e-14,4.50470124789e-14,-240
55,5.34051858652e-14,1.43357590896e-14,5.52958214151e-14,-240
56,-3.55965534458e-15,2.7256278651e-14,2.74877403959e-14,-240
57,4.01795759649e-14,-9.67048172963e-15,4.13269469185e-14,-240
58,1.86240570205e-14,4.13657745855e-14,4.53649953925e-14,-240
59,-7.01488774137e-15,3.15322211717e-16,7.02197109943e-15,-240
60,-3.63182611025e-14,7.86805414701e-14,8.6658200394e-14,-240
61,-1.63307157936e-14,-9.44627431083e-14,9.58639771441e-14,-240
62,-6.04635539423e-15,9.0708495951e-14,9.09097885337e-14,-240
63,8.43287280385e-15,-5.18048338075e-14,5.24867045027e-14,-240
64,1.23022556778e-14,2.975397706e-14,3.21969664044e-14,-240
65,-2.21957293465e-14,9.56251400983e-15,2.41679969259e-14,-240
66,1.20163948223e-14,-5.5783602097e-15,1.3248088434e-14,-240
67,-3.71854234868e-14,-5.66917800272e-15,3.76150940331e-14,-240
68,1.0989027686e-14,5.48844764277e-15,1.22833947674e-14,-240
69,-5.55334857147e-15,2.62629220757e-14,2.68436353036e-14,-240
70,-8.62866247732e-15,-9.78372578895e-15,1.30451181084e-14,-240
71,7.50903009671e-15,3.90472067775e-14,3.97626695547e-14,-240
72,-5.83995049651e-14,-2.41876374181e-14,6.32103154876e-14,-240
73,-1.22509225809e-14,-2.56208416868e-14,2.83991660586e-14,-240
74,1.28680393853e-14,7.19044957514e-15,1.47407259901e-14,-240
75,3.38660407461e-15,-2.0986532564e-15,3.98414766904e-15,-240
76,-2.54621648871e-15,-5.19650750753e-15,5.78678742336e-15,-240
77,-1.27939651826e-14,-1.20509998032e-15,1.28505957471e-14,-240
78,-5.14627812821e-15,-2.10803002344e-15,5.56129203986e-15,-240
79,-2.30425724131e-14,-1.06096197419e-14,2.53677782725e-14,-240
80,1.06968164391e-14,-3.1821279783e-15,1.11600994799e-14,-240
81,-1.85761301904e-14,1.45635801331e-14,2.36044588827e-14,-240
82,-2.95917978874e-14,-1.08540026734e-14,3.15195792523e-14,-240
83,-1.80883285884e-14,-4.22381726407e-14,4.59483499067e-14,-240
84,1.78430054017e-14,4.77891063425e-15,1.84718929353e-14,-240
85,7.11767499417e-15,-5.3290705182e-14,5.37639335997e-14,-240
86,-1.90096274337e-14,-9.61429242477e-15,2.13025950061e-14,-240
87,-8.03772024725e-15,-1.49091549043e-15,8.17482573347e-15,-240
88,-5.05070761694e-14,4.59531451191e-15,5.07156944017e-14,-240
89,1.93574702323e-14,-3.5348041524e-14,4.03013113109e-14,-240
90,-5.48784841091e-14,-2.47459287469e-14,6.0199742588e-14,-240
91,-1.09919605762e-15,-5.5243803e-14,5.52547373705e-14,-240
92,7.72762431334e-14,-2.25427001083e-14,8.04971495208e-14,-240
93,-9.48153688836e-15,-3.66744708952e-14,3.78802898247e-14,-240
94,2.71409978601e-14,8.12898071243e-15,2.8332209449e-14,-240
95,1.16544823104e-14,-4.54048042454e-15,1.25077144358e-14,-240
96,9.7752907637e-15,1.19551995034e-14,1.54428981957e-14,-240
97,1.29974298989e-14,-7.01485983232e-15,1.47696121291e-14,-240
98,-4.41574396496e-14,1.75084391779e-14,4.75018412154e-14,-240
99,2.21025007033e-14,-3.35157090933e-14,4.01475191433e-14,-240
100,3.31305121772e-14,5.63581498248e-16,3.31353053589e-14,-240
101,-6.85874390456e-15,-2.70995788608e-14,2.7954061286e-14,-240
102,3.93110925099e-14,2.50962782071e-15,3.93911186198e-14,-240
103,3.00850347097e-15,1.82677724368e-14,1.85138489498e-14,-240
104,1.16721929107e-14,-2.52980347196e-14,2.78609161375e-14,-240
105,3.12232147855e-15,2.93843925544e-14,2.95498124733e-14,-240
106,-1.71992856461e-14,-5.40540747531e-14,5.6724407658e-14,-240
107,3.51760649987e-15,1.12078835042e-14,1.17469233475e-14,-240
108,1.06439599595e-13,-5.11806751455e-14,1.18105249122e-13,-240
109,1.23413568286e-14,1.02126021104e-13,1.02869010275e-13,-240
110,-6.94262350169e-14,-4.05891347406e-14,8.04206439144e-14,-240
111,5.25021078559e-14,-2.13162820728e-13,2.19533276453e-13,-240
112,1.24446437063e-14,-2.5867867088e-14,2.87056737364e-14,-240
113,3.34240627209e-14,3.34882581868e-14,4.73141776338e-14,-240
114,3.62789828741e-14,1.32612611621e-14,3.86267478049e-14,-240
115,5.89805707596e-14,1.18757634594e-15,5.89925254986e-14,-240
116,2.50890557977e-14,5.30060006421e-15,2.56428758501e-14,-240
117,4.08652242682e-14,3.7665842154e-14,5.55759140245e-14,-240
118,2.06961817823e-14,8.9267235688e-15,2.25392620562e-14,-240
119,-6.61793017609e-15,7.14669201304e-14,7.17726805458e-14,-240
120,-1.55347830414e-14,5.33610692495e-14,5.55763726379e-14,-240
121,8.23252940161e-15,5.27043429433e-14,5.33434373231e-14,-240
122,-1.0790410893e-15,2.76553050045e-14,2.76763477461e-14,-240
123,-3.83553384293e-14,4.45609078642e-14,5.87946128119e-14,-240
124,-4.14415208709e-14,3.67070299816e-14,5.53606873346e-14,-240
125,-4.4228511755e-14,1.54588818274e-14,4.68523028187e-14,-240
126,-5.10924542298e-14,2.55838451264e-14,5.71399335901e-14,-240
127,-4.36672740936e-14,-2.81960008494e-14,5.1979277512e-14,-240
128,1.25381780705e-14,0,1.25381780705e-14,-240
129,-4.3090222486e-14,3.13262740221e-14,5.32738464727e-14,-240
130,-5.10924542298e-14,-2.55838451264e-14,5.71399335901e-14,-240
131,-4.42154054411e-14,-1.36152426697e-14,4.62642076694e-14,-240
132,-4.14415208709e-14,-3.67070299816e-14,5.53606873346e-14,-240
133,-3.87925209251e-14,-4.48803634003e-14,5.93220591237e-14,-240
134,-1.0790410893e-15,-2.76553050045e-14,2.76763477461e-14,-240
135,5.17975650671e-15,-5.37871964608e-14,5.40360285419e-14,-240
136,-1.55347830414e-14,-5.33610692495e-14,5.55763726379e-14,-240
137,-5.32754765469e-15,-7.15464577185e-14,7.17445355137e-14,-240
138,2.06961817823e-14,-8.9267235688e-15,2.25392620562e-14,-240
139,3.55544513854e-14,-3.97499535534e-14,5.33308336782e-14,-240
140,2.50890557977e-14,-5.30060006421e-15,2.56428758501e-14,-240
141,5.82161831454e-14,-1.44815657446e-15,5.82341921682e-14,-240
142,3.62789828741e-14,-1.32612611621e-14,3.86267478049e-14,-240
143,3.80854999592e-14,-2.49269216698e-14,4.5517652961e-14,-240
144,1.24446437063e-14,2.5867867088e-14,2.87056737364e-14,-240
145,2.79898678571e-14,4.97379915032e-14,5.7072764971e-14,-240
146,-6.94262350169e-14,4.05891347406e-14,8.04206439144e-14,-240
147,1.35881959688e-14,-1.01172332877e-13,1.02080752394e-13,-240
148,1.06439599595e-13,5.11806751455e-14,1.18105249122e-13,-240
149,1.04066335244e-15,-5.0837268143e-15,5.18914815124e-15,-240
150,-1.71992856461e-14,5.40540747531e-14,5.6724407658e-14,-240
151,3.09461327504e-15,-2.78817842652e-14,2.80529949405e-14,-240
152,1.16721929107e-14,2.52980347196e-14,2.78609161375e-14,-240
153,2.36254114326e-15,-2.09202263891e-14,2.10532057613e-14,-240
154,3.93110925099e-14,-2.50962782071e-15,3.93911186198e-14,-240
155,-6.28638478122e-15,2.8135609376e-14,2.88293452679e-14,-240
156,3.31305121772e-14,-5.63581498248e-16,3.31353053589e-14,-240
157,2.29665398964e-14,3.13136620481e-14,3.88330707732e-14,-240
158,-4.41574396495e-14,-1.75084391779e-14,4.75018412154e-14,-240
159,1.18844621993e-14,1.27416914107e-14,1.74238670155e-14,-240
160,9.7752907637e-15,-1.19551995034e-14,1.54428981957e-14,-240
161,1.60342448564e-14,8.12184502173e-15,1.79739081636e-14,-240
162,2.71409978601e-14,-8.12898071243e-15,2.8332209449e-14,-240
163,-9.82850539569e-15,3.75646464163e-14,3.88291408442e-14,-240
164,7.72762431334e-14,2.25427001083e-14,8.04971495208e-14,-240
165,9.22409643578e-16,5.52177752266e-14,5.52254790883e-14,-240
166,-5.48784841091e-14,2.47459287469e-14,6.0199742588e-14,-240
167,1.79618393661e-14,3.36410496683e-14,3.81359134701e-14,-240
168,-5.05070761694e-14,-4.59531451191e-15,5.07156944017e-14,-240
169,-7.29359994869e-15,4.6796691457e-15,8.6657892615e-15,-240
170,-1.90096274337e-14,9.61429242477e-15,2.13025950061e-14,-240
171,-7.44993547386e-15,1.7763568394e-14,1.9262551769e-14,-240
172,1.78430054017e-14,-4.77891063425e-15,1.84718929353e-14,-240
173,-1.891507507e-14,4.18783060511e-14,4.59518506985e-14,-240
174,-2.95917978874e-14,1.08540026734e-14,3.15195792523e-14,-240
175,5.85187529575e-15,-1.77184011977e-14,1.86597477336e-14,-240
176,1.06968164391e-14,3.1821279783e-15,1.11600994799e-14,-240
177,-2.15361227155e-14,7.20243373231e-15,2.27085806092e-14,-240
178,-5.14627812821e-15,2.10803002344e-15,5.56129203986e-15,-240
179,-1.2269871606e-14,1.45306871487e-16,1.22707319795e-14,-240
180,-2.54621648871e-15,5.19650750753e-15,5.78678742336e-15,-240
181,1.50606375306e-14,4.03128935257e-15,1.55908337388e-14,-240
182,1.28680393853e-14,-7.19044957514e-15,1.47407259901e-14,-240
183,-1.38892596512e-14,2.34318077327e-14,2.72389637703e-14,-240
184,-5.83995049651e-14,2.41876374181e-14,6.32103154876e-14,-240
185,1.01092881009e-14,-3.70322976384e-14,3.83873517488e-14,-240
186,-8.62866247732e-15,9.78372578895e-15,1.30451181084e-14,-240
187,-4.85899048979e-15,-2.65816831917e-14,2.70221329633e-14,-240
188,1.0989027686e-14,-5.48844764277e-15,1.22833947674e-14,-240
189,-3.67786030385e-14,4.64532795167e-15,3.7070806752e-14,-240
190,1.20163948223e-14,5.5783602097e-15,1.3248088434e-14,-240
191,-2.82283852477e-14,-4.56951592804e-15,2.85958425214e-14,-240
192,1.23022556778e-14,-2.975397706e-14,3.21969664044e-14,-240
193,7.85830465122e-15,5.97698329055e-14,6.0284209189e-14,-240
194,-6.04635539423e-15,-9.0708495951e-14,9.09097885337e-14,-240
195,-1.55905390762e-14,9.56654315961e-14,9.69274971881e-14,-240
196,-3.63182611025e-14,-7.86805414701e-14,8.6658200394e-14,-240
197,-5.77026303648e-15,3.28493909728e-16,5.77960584806e-15,-240
198,1.86240570205e-14,-4.13657745855e-14,4.53649953925e-14,-240
199,3.9298960556e-14,1.07841112737e-14,4.07517528058e-14,-240
200,-3.55965534458e-15,-2.7256278651e-14,2.74877403959e-14,-240
201,5.34460536484e-14,-1.09777451075e-14,5.45618139199e-14,-240
202,4.15148730387e-14,-1.74856698429e-14,4.50470124789e-14,-240
203,3.34054935072e-14,4.79948927773e-14,5.84759500065e-14,-240
204,2.14065825268e-14,7.1947419009e-15,2.25833143382e-14,-240
205,1.22016682185e-14,3.14825867942e-14,3.37643892077e-14,-240
206,4.15360649868e-14,4.00238231634e-14,5.76814624919e-14,-240
207,4.3953359137e-14,6.04169358193e-14,7.47134787922e-14,-240
208,1.71727133548e-14,3.92021149473e-14,4.27984567515e-14,-240
209,-1.07092623866e-14,8.49124028733e-14,8.55850714937e-14,-240
210,-1.73580786433e-14,7.22952888103e-14,7.43499272249e-14,-240
211,-2.77799834723e-15,8.81370370321e-14,8.81808061407e-14,-240
212,-1.3610275393e-14,1.77229654029e-13,1.77751483436e-13,-240
213,-5.32894804184e-13,57.6,57.6,35.2084496685
214,-3.83690561606e-15,-1.47094775452e-13,1.47144808981e-13,-240
215,-1.59982062597e-14,-1.12030846404e-13,1.13167367865e-13,-240
216,6.0682825452e-14,-3.94984521092e-14,7.24053383658e-14,-240
217,-2.18586708583e-14,5.09941405245e-14,5.54815632397e-14,-240
218,-1.01190929809e-13,-3.13867229878e-14,1.0594682938e-13,-240
219,-3.68501607092e-14,-6.15844908319e-14,7.17675682695e-14,-240
220,-4.31818844484e-14,-2.19532705709e-14,4.8441936721e-14,-240
221,-2.22591809333e-14,-1.02016146969e-13,1.04416308009e-13,-240
222,1.91682306783e-15,-3.76710808592e-14,3.77198163274e-14,-240
223,-4.35610862238e-14,-6.08778475727e-14,7.48577354592e-14,-240
224,3.23846221687e-14,-3.93083192726e-14,5.09304203502e-14,-240
225,7.23127674876e-15,-2.72542135088e-14,2.81972253494e-14,-240
226,2.69790062568e-15,-4.82850370564e-14,4.83603501986e-14,-240
227,2.92977784812e-14,2.25659754341e-14,3.69808473568e-14,-240
228,-3.21957740591e-14,-7.48127421535e-14,8.14463888444e-14,-240
229,1.30081435215e-14,-4.20901548076e-14,4.40544314412e-14,-240
230,4.14677316325e-14,-5.43517153878e-14,6.83643308483e-14,-240
231,9.45470827559e-15,-2.78434503864e-15,9.85616993922e-15,-240
232,-2.58201700685e-15,-2.08217538386e-14,2.09812355389e-14,-240
233,3.0954142815e-14,-3.02590959895e-14,4.32870863828e-14,-240
234,2.32131107629e-15,-2.57037485879e-14,2.58083547826e-14,-240
235,1.00042319828e-14,-2.18660245406e-14,2.4045949488e-14,-240
236,5.79206940104e-15,-2.63090288341e-14,2.69390620872e-14,-240
237,3.15080765227e-15,-2.39992400105e-14,2.4205187666e-14,-240
238,-5.69508274635e-15,-5.95522914078e-14,5.98239866559e-14,-240
239,1.5908351822e-13,128,128,42.144199393
240,3.3736089387e-14,3.29665442655e-14,4.71690233939e-14,-240
241,-2.56573344934e-14,3.52494832785e-14,4.35984504851e-14,-240
242,6.11357534204e-14,-1.52277856161e-14,6.30036967253e-14,-240
243,3.34550882851e-15,3.31049063063e-14,3.32735217683e-14,-240
244,-1.63094973717e-14,-1.60106243292e-14,2.28547543397e-14,-240
245,1.13531109933e-14,-2.17391406505e-15,1.15593698612e-14,-240
246,2.57331244115e-14,-1.81732778368e-14,3.15033604448e-14,-240
247,2.63879470928e-14,1.40345118212e-14,2.98879787512e-14,-240
248,4.04590885221e-15,-6.9977352613e-15,8.08317247296e-15,-240
249,6.14680280646e-15,-2.74005772879e-14,2.80815743941e-14,-240
250,1.77019980269e-13,3.24095492043e-14,1.79962363549e-13,-240
251,1.09321474482e-14,1.34780210306e-13,1.35222841775e-13,-240
252,-1.11480938986e-13,4.40770284013e-14,1.1987820565e-13,-240
253,8.5864208634e-15,-3.25154361532e-15,9.18145735305e-15,-240
254,-4.80194959763e-14,1.79967353991e-14,5.12811318015e-14,-240
255,7.97228344331e-15,-1.39676605501e-14,1.60826877276e-14,-240
